title;description;href;vol_price;volume;price;strike;price_1;discount;discount_1
Барселона;Состав: смесь трех арабик из Бразилии, Индии и Гондураса;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-barselona/#title;1 кг. (1 200 руб. );1000;1200;0;1200,0;1020,0;1020,0
Кастилия;Состав: смесь арабик из Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/kastiliya/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Кастилия;Состав: смесь арабик из Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/kastiliya/#title;500 гр. (750 руб. );500;750;0;1500,0;637,5;1275,0
Кастилия;Состав: смесь арабик из Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/kastiliya/#title;1 кг. (1 400 руб. );1000;1400;0;1400,0;1190,0;1190,0
Уганда Сипи Фоллз;Состав: Уганда Сипи Фоллз органик - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/uganda-sipi-follz-pod-espresso/#title;200 гр. (400 руб. );200;400;0;2000,0;340,0;1700,0
Уганда Сипи Фоллз;Состав: Уганда Сипи Фоллз органик - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/uganda-sipi-follz-pod-espresso/#title;500 гр. (900 руб. );500;900;0;1800,0;765,0;1530,0
Уганда Сипи Фоллз;Состав: Уганда Сипи Фоллз органик - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/uganda-sipi-follz-pod-espresso/#title;1 кг. (1 600 руб. );1000;1600;0;1600,0;1360,0;1360,0
Гондурас Сан-Маркос;Состав: Гондурас Сан-Маркос - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/honduras-san-marcos/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Гондурас Сан-Маркос;Состав: Гондурас Сан-Маркос - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/honduras-san-marcos/#title;500 гр. (700 руб. );500;700;0;1400,0;595,0;1190,0
Гондурас Сан-Маркос;Состав: Гондурас Сан-Маркос - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/honduras-san-marcos/#title;1 кг. (1 350 руб. );1000;1350;0;1350,0;1147,5;1147,5
Вильфредо;Состав: смесь арабики (80%) и робусты (20%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-vilfredo/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Вильфредо;Состав: смесь арабики (80%) и робусты (20%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-vilfredo/#title;500 гр. (650 руб. );500;650;0;1300,0;552,5;1105,0
Вильфредо;Состав: смесь арабики (80%) и робусты (20%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-vilfredo/#title;1 кг. (1 250 руб. );1000;1250;0;1250,0;1062,5;1062,5
Паганини;Состав: смесь арабики (75%) и робусты (25%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-paganini/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Паганини;Состав: смесь арабики (75%) и робусты (25%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-paganini/#title;500 гр. (750 руб. );500;750;0;1500,0;637,5;1275,0
